B3LYP6-31Gdp.ECIBIB01.log,136.3,131.36,G4.ECIBIB01.log,131.51,131.51,0.15
B3LYP6-31Gdp.NABMOS.log,93.98,100.05,G4.NABMOS.log,100.39,100.39,0.34
B3LYP6-31Gdp.MENFXN.log,168.75,173.64,G4.MENFXN.log,173.28,173.28,0.36
B3LYP6-31Gdp.YALQEK.log,203.41,214.53,G4.YALQEK.log,213.73,213.73,0.8
B3LYP6-31Gdp.XUCJEM.log,107.89,105.57,G4.XUCJEM.log,104.6,104.6,0.97
B3LYP6-31Gdp.NAGGOU.log,446.39,429.82,G4.NAGGOU.log,428.79,428.79,1.03
B3LYP6-31Gdp.ISAJAN.log,281.81,247.53,G4.ISAJAN.log,246.32,246.32,1.21
B3LYP6-31Gdp.SOXNEA.log,219.42,192.5,G4.SOXNEA.log,193.97,193.97,1.47
B3LYP6-31Gdp.SORBEG.log,290.33,262.78,G4.SORBEG.log,264.32,264.32,1.54
B3LYP6-31Gdp.YIKBUP.log,-467.37,-542.8,G4.YIKBUP.log,-544.48,-544.48,1.68
B3LYP6-31Gdp.EZESUY.log,302.91,256.12,G4.EZESUY.log,257.93,257.93,1.81
B3LYP6-31Gdp.GEDYEU.log,469.84,474.5,G4.GEDYEU.log,472.68,472.68,1.82
B3LYP6-31Gdp.CUZMOZ.log,152.56,151.84,G4.CUZMOZ.log,150,150,1.84
B3LYP6-31Gdp.MENOIM.log,74.52,71.61,G4.MENOIM.log,69.73,69.73,1.88
B3LYP6-31Gdp.ONBZAM.log,-65.31,-103.01,G4.ONBZAM.log,-100.94,-100.94,2.07
B3LYP6-31Gdp.RIKNOO.log,175.23,167.11,G4.RIKNOO.log,169.26,169.26,2.15
B3LYP6-31Gdp.MUZNEC.log,203.34,208.93,G4.MUZNEC.log,206.72,206.72,2.21
B3LYP6-31Gdp.ZZZTLC01.log,51.13,57.45,G4.ZZZTLC01.log,55.09,55.09,2.36
B3LYP6-31Gdp.OXIRUK.log,476.37,447.07,G4.OXIRUK.log,444.71,444.71,2.36
B3LYP6-31Gdp.LUHPAF.log,-107.35,-104.64,G4.LUHPAF.log,-107.22,-107.22,2.58
B3LYP6-31Gdp.HAWSOO.log,49.22,7.74,G4.HAWSOO.log,5.07,5.07,2.67
B3LYP6-31Gdp.IDEHAD.log,-82.26,-106.5,G4.IDEHAD.log,-103.69,-103.69,2.81
